,tweet
0,"The @IndiaToday Group has launched a #SaveTheTaj campaign across all platforms.Each week, we will highlight one asp… https://t.co/yDMQqGANah"
1,Messenger of evil? Inflammatory videos spread thru the messaging app trigger off a spate of nationwide lynching dea… https://t.co/1mc8w9ScSn
2,The Mamata Formula. Will Bengal Chief Minister @MamataOfficial be the force around which the opposition coalesces i… https://t.co/8BixFfcTkO
3,Justice Jasti Chelameshwar led an unprecedented press conference of four sitting judges in January this year. Read… https://t.co/EWR8tOpY75
4,The New Strategem. The BJP and RSS put their heads together to come up with a new blueprint for the 2019 elections. https://t.co/JyqTRv8tY0
5,Maoists in the city? A police crackdown on suspected Maoists in Pune uncovers assassination threats on the PM and C… https://t.co/G9HnNveAEg
6,Trump’s Big Deal: As US President Donald Trump and North Korean supreme Kim Jung-un reach a historic nuclear detent… https://t.co/EqipRDxDdx
7,"Economy on the upswing. Average 7.3 % growth, inflation under control, expansion of tax base. But worries on oil pr… https://t.co/vprTZMl7z2"
8,Goal 2019. Because the kick off for the next general elections began as the government entered its fifth year. We r… https://t.co/EkTj6S4T9X
9,"Tremendous achievements on important fronts, glaring lapses in others. A feeling of alienation among the minorities… https://t.co/1lSmwlhDF5"
10,Another exciting new feature in #IndiaTodayBestCollegesSurvey—Return on Investment ranking. We match course fees to… https://t.co/nuoS0DbYxn
11,One of the toughest decisions in a student’s life is choosing the college they want to study in. The… https://t.co/JcoYvkn4c4
12,"RT @IndiaToday: This is the communication sent by the India Today Group to set the record right on CobraPost’s malafide sting operation.
ht…"
13,"RT @IndiaToday: India Today wins prestigious Society of Publication Designers Award #ITVideo
https://t.co/Nounxo6IKQ https://t.co/4AH9qh6KOu"
14,"We shall fight with whatever we have’, Army chief General VP Malik said during Kargil War 1999. Army now in nearly… https://t.co/ifFPpuyNJW"
15,"The saffron hand. From the Air India sale to labour laws, FDI and pharmaceuticals. How the RSS and its affiliates a… https://t.co/GxQv6tMqd7"
16,"The Wuhan Warmup. Post the ‘informal’ Xi-Modi summit, our cover story asks the big questions. Can India and China f… https://t.co/lqZexlggeG"
17,"Power shakedown in @IndiaToday #PowerList2018 29 move up, 7 down. Power about ideas, information&amp;image. Ideas have… https://t.co/Oi4gCY0LUe"
18,"Yogi’s Agni Pariksha. The alleged cover-up of a rape by a BJP MLA, rising Dalit anger &amp; the party’s defeat in two c… https://t.co/OfDbgVI372"
19,The last charge. The defence ministry pushes its flagging Make in India in defence with a new policy and a major sh… https://t.co/xl44KzEY4Y
20,"Informed by history, buttressed by intelligentsia, empowered by education and imbued with electoral power, Dalits s… https://t.co/A2li8hDhiv"
21,"Your privacy is dead! Big Brothers are watching you on social media, search engines. No escaping them unless you be… https://t.co/9AKJJ2PPw4"
22,Can an anti-Modi alliance win 2019? Opposition parties energised by NDA’s bypoll losses and its fragmenting constit… https://t.co/VtCQNvTEoe
23,"@IndiaToday @AUTOTODAYMAG ,"
24,"We certainly need more candour, humour &amp; humanity in our lives."
25,Five #LetsConclave18 takeaways: more women in public life; politics of hate needs to give way to compassion; 3Ds-de… https://t.co/d1ubMMamlP
26,"#LetsConclave18
Grab the @IndiaToday special issue which curates the best of the conclave. ‘The Great Churn: Triump… https://t.co/aaRtysqoeJ"
27,Macron the manager. France’s youngest president ever has carved a new leadership role for himself. As Germany falte… https://t.co/R2Rbnm19M5
28,"Hard fought election of 2016 is now well &amp; truly behind her, but as headlines abt Russian interference show,… https://t.co/bGIgYxdcIN"
29,"In victory and defeat, in good times and bad, she (@HillaryClinton) is poise and polish personified, a symbol of ho… https://t.co/nQ6Ew3iipg"
30,"As most sensible people realise with every passing day, Mrs Hillary Clinton should have been President.
@IndiaToday #LetsConclave18"
31,"From the bedroom to the boardroom. In a time of #MeToo, the annual @IndiaToday sex survey looks at the workplace: 2… https://t.co/ap5bJF4AMj"
32,"Government has no business being in business. Until the Prime Minister applies that to banking in India, there will… https://t.co/1ctvWGx61x"
33,No War no peace. Ground zero in the Indian army’s new ‘proactive strategy’ playing out amidst the worst violence al… https://t.co/fmf8SOvrVq
34,Whats the endgame? India-Pakistan relations dip dangerously as the LoC’s bunker-to-bunker conflict mounts. With no… https://t.co/womc2otDZk
35,#Modicare raises hope and scepticism. India ranks 154 of 195 countries in access to healthcare. Health business boo… https://t.co/5CX0rghLk9
36,The added readership of India Today English and India Today Hindi puts us ahead of India's No.1 English newspaper.… https://t.co/YI5QKOuXRv
37,"India Today English is the most read magazine in the country, across genres and languages. It deeply delights me to… https://t.co/c7P9nDxKWU"
38,"For those who think magazines are passe, there is some breaking news. Readership of magazines in the country stands… https://t.co/E97kyq00Vd"
39,It’s raining sops in Modi Bharat. We look at the big issues Finance Minister Arun Jaitely looked away from in… https://t.co/8PY6xUbDaE
40,Betting the farm. Prime Minister Modi articulates his vision for the 2019 elections. #Budget2018 recognises rural d… https://t.co/y8ItsMFwv8
41,Appease or reform? Our panel of six economists crunch trends and figures to predict what’s in store in the Narendra… https://t.co/B6lAUlm38V
42,The tightrope walker. Finance Minister Arun Jaitley faces one of his toughest challenges in #Budget2018. Has to bal… https://t.co/gFX4pjLLua
43,Watch out Mr Modi. The January 2018 @IndiaToday-Karvy #MOTN poll discovers Narendra Modi is still top choice for PM… https://t.co/JQ2v0v3GA9
44,"Oh my Lords! A revolt by four Supreme Court judges polarises the nation, raising both alarm and hope. Will it open… https://t.co/hpyjyojxde"
45,#HinduVsHindutva. Liberalism and pluralism are Hinduism’s greatest qualities. These are under the greatest threat t… https://t.co/qOyV5Bsfk2
46,"#SouthConclave18 The six chief ministers of the South are currently the brand ambassadors for their states, as much… https://t.co/g2jyNN631e"
47,"South India has always been ahead of the growth curve. It has been the playground of history, home to the wealthies… https://t.co/ZrAl69rylJ"
48,"Hrudayapoorvaka Swagatham (hearty welcome). Over the next two days at #SouthConclave18, you will listen to visionar… https://t.co/TRbpN0MRHl"
49,"As it is our mission to tell readers where the nation is headed, @IndiaToday
commissioned 12 experts in each field… https://t.co/kZydT4dGqQ"
50,"Meet our happiness project, the do-gooders who help change millions of lives. IIT-ian Umesh Malhotra who educates 1… https://t.co/0U5xVUTuwn"
51,The mainstream media does tend to focus more on negative news. Happy to present our Good News Issue. Here we highli… https://t.co/grpPGX3ddT
52,"#IndiaTodayNewsmaker2017 @imVkohli. Why #KingKohli?  2,818 runs, 9 back-to-back series wins, six 200+ scores in 17… https://t.co/IKFUhRm7Hn"
53,Choosing an @IndiaToday newsmaker is never easy. Especially true of '17. Who was it going to be? Cong President Rah… https://t.co/pXX3cW4DUy
54,"The hand needs holding. The Gujarat defeat was honourable, but Rahul’s #Congress needs to urgently stem the organis… https://t.co/NGRVrINo48"
55,Worrying victory. A sixth consecutive win in Gujarat exposes the chinks in the BJP’s electoral armour. The Congress… https://t.co/5g1ZRav7KM
56,RT @IndiaToday: Watch India Today Group Chairman &amp; Editor-in-Chief @aroonpurie delivering the keynote address at #ArtsAwards18 ceremony. #I…
57,"Wins, worries and warnings. We’ve closely tracked one of the year’s most sensational elections, #Gujarat. The close… https://t.co/iQUfufjoJ0"
58,"India Today is 42! Our unmissable anniversary special looks at the DIY Generation, 42 tech-wizards, change-makers,… https://t.co/dnVqhykZ1d"
59,"Different take on #RahulGandhi by Shiv Visvanathan.
https://t.co/iup7kmhzbw"
60,Will he fit the cap? Curious echo of a question we asked of Rahul’s father Rajiv Gandhi as he was being groomed to… https://t.co/o9kMj9gsD6
61,"On campaign trail with Hardik Patel. Regardless of whether he wins or loses, he's a leader in the making for… https://t.co/rfgbJ16TjM"
62,"The Un(ease) of doing business in India. Sure, India jumped 30 places in the World Bank’s ease of doing business ra… https://t.co/SStRFLwsMW"
63,Can the Young Turks topple Narendra Modi in Gujarat? The big question @IndiaToday is asking as the Hardik Patel-Jig… https://t.co/G3LiC7R8cl
64,"The all new saree. A sign of both modernity and tradition, in the hands of designers today, the sari is becoming an… https://t.co/kDMdp3GHfr"
65,Ended day one of #ConclaveEast17 yesterday with mellifluous Shillong Chamber Choir and genius creator Neil Nongkynr… https://t.co/iGoLhoEIPj
66,"At @IndiaToday  #ConclaveEast17 CM Mamata Banerjee was in full form leading the charge against the Modi govt. ""Beng… https://t.co/sAwhpasFs1"
67,Just finished day one of 1st edition of @IndiaToday  #ConclaveEast17. A day full of brilliant sessions. The opening… https://t.co/o4pYuRlGq7
68,"A Republic of outrage? Why and how myth, history and electoral calculations fuelled the Padmavati conflagaration. T… https://t.co/wo8mJElxbz"
69,"India’s power states - we’ve got some surprise winners this year on @IndiaToday's #StateofStates17  survey, the mos… https://t.co/q9m4XABfao"
70,"The Dragon’s Grip Tightens. Nepal, Bangladesh, Sri Lanka and the Maldives-- China’s One Belt, One Road is rapidly e… https://t.co/M5gs0deAq8"
71,"@IndiaToday @aajtak @rahulkanwal @sardesairajdeep Best televised event #AgendaAajtak &amp;
Best video editor Gaurav Khera"
72,"@IndiaToday @aajtak SO PROUD
Best news channel Hindi @aajtak; best news channel English @IndiaToday; Best news prog… https://t.co/xW1gpBE2rr"
73,"The #ITAAwards we brought home are a recognition of the Gold standard of journalism. Well deserved team @IndiaToday, @aajtak Keep it up!"
74,Hits and misses. #Demonetisation’s first anniversary asks for a lookback at the consequences of PM Modi’s economic… https://t.co/EuZn073BXF
75,Dark hearts &amp; savaged childhoods. Our investigation into the unrelenting tragedy of children sold into sex slavery… https://t.co/7GPjLFRQCG
76,Two many leaders? The BJP is divided between Shanta Kumar and Prem Kumar Dhumal. The fight with the Congress in Him… https://t.co/xzvgS4k5oH
77,"RT @aroonpurie: Priyanka Chopra in Hollywood. Now, desi supermodels Pooja Mor, Rasika Navare are international runway scorchers. More on th…"
78,"Priyanka Chopra in Hollywood. Now, desi supermodels Pooja Mor, Rasika Navare are international runway scorchers. Mo… https://t.co/qPwEbSNYX8"
79,Exclusive book extracts and his 1st interview since demitting office. Happy he chose @IndiaToday for first look at… https://t.co/4N13g8Ke3W
80,"How to solve the #jobscrisis: @IndiaToday  talks to a galaxy of top experts about solutions.
https://t.co/QD7ksUWHBZ"
81,"India needs to create 16 million jobs annually to meet the demand.. Did only 2,31,000 in 2016. #JobCrisis Focus of… https://t.co/g7AI14e9Oq"
82,Can Amit Shah’s manoeuvres enable BJP to better its 2014 General Election tally of a simple 282-seat majority to a massive 350 in 2019?
83,.@AmitShah is rebuilding BJP into a mean election machine. In an exclusive intv in the midst of a 120-day nationwid… https://t.co/ceduxGcdJ5
84,"RT @aajtak: स्वच्छ जिला से लेकर स्वच्छ मंदिर परिसर तक के लिए #Safaigiri17 अवॉर्ड @MVenkaiahNaidu, @aroonpurie
Live: https://t.co/MSVY8sS7xn…"
85,RT @aajtak: #Safaigiri17 अवॉर्ड्स: @IndiaToday ग्रुप के चेयरमैन @aroonpurie ने कीनोट अड्रेस में स्वच्छता के महत्व पर अपना विचार रखा https:/…
86,"What's the next big thing in technology that Satya Nadella, Micrsoft CEO, is betting on? @IndiaToday  travels to his Seattle HQ to find out"
87,"70 remarkable 
personalities have been written about by those who knew them. Intimate informative pen portraits #IndiaTodayMagazine"
88,"COVER STORY
#MoversAndShakers
Our special collector’s issue celebrates 70 icons who have defined India in the 70 yr… https://t.co/wNWMvoRvaZ"
89,"#BabatheBeast The convicted guru’s cult unravels, revealing a sordid world of political influence, sexual violence… https://t.co/5siw8zSIB8"
90,How will Infosys reboot. A behind-the-scenes account of the Vishal Sikka-Narayana Murthy showdown. What’s next? #IndiaTodayMagazine
91,"2/2 Nearly 40 % believe #Achhedin here, 63 % rate him outstanding, good."
92,1/2 Modi has achieved a kind of political nirvana —his popularity delinked to people’s view of his performance.
93,"#TIMO-There is Modi Only, say results of our half-yearly #MOTN poll. Twice as many people rate him a better PM than… https://t.co/KliNbmumk7"
94,India a miracle of history. Only erstwhile British colony to survive as united democracy despite diversity. https://t.co/edTEdB6Uc1
95,"As the nation turns 70, time to shed caste &amp; religious prejudices, embrace nationalism like freedom fighters to rea… https://t.co/Yzp1Gv5066"
96,".@indiatoday latest issue has 70 institutions which contributed to India. Temples of modern India in education, healthcare, business &amp;infra."
97,"Dashboards tracking progress of schemes to drones checking construction, Modi govt turns to tech for transformation
https://t.co/x1Xwb1KZdd"
98,#NawazSharif's ouster has thrown Pak into political turmoil. Actors have changed but torturous Game of Thrones plot… https://t.co/92tWnbsWsy
99,Colonial hangover of pomps and circumstance of #Rastrapati Bhawan costs the nation dearly. Do we as a poor country need this extravagance?
100,@IndiaToday Correction: Featured in SPD - Society of Publication Designers
101,"Delighted @IndiaToday cover on China-Pak equation is featured in SDP, a New York-based society, calling out excelle… https://t.co/pePDpkt4aT"
102,Leaked documents reveal China’s plans to buy out large swathes of Pakistan’s economy. Why India needs to worry.
103,Pakistan fast becoming China’s new colony. From farms to textiles to power projects and even the stock exchange.… https://t.co/H4ZO4VnJag
104,The frequent lynching by cow vigilantes and mobs is a shame on our country. Government must #StoptheMadness https://t.co/6F1ECHDHjy
105,Doko La is one of many places that had fallen off the map of Indian priorities. Now is a good time to remember some history and geography.
106,China continues to needle India by provoking perilious military standoff about an obscure pasture in Bhutan. An ind… https://t.co/baWJd9sOJg
107,Out of the closet. Narendra Modi has made history by becoming the first Indian PM to visit the Jewish nation. #IndiaIsraelFriendship
108,Much needed reform #GST gets rolling. Unnecessarily complicated. Many bumps ahead Hopefully we will eventually blun… https://t.co/LNusVqZ4vr
109,The presidency: The stealth bomber. PM Modi’s surprise choice is a man for all reasons. The Opposition is in disarray.
110,The Naveen mystique. Four terms and 17-years. The secret behind the uninterrupted reign of Odisha CM Naveen Patnaik. @IndiaToday magazine
111,Great paradox that MP is the success story on Indian agriculture &amp; its CM Chouhan should face such a violent farmer agitation.
112,"Good news: Most dreaded disease of our times with new breakthroughs in drugs &amp; therapies will soon be controlled.
https://t.co/sStF8HBVCP"
113,The Beef card. The saffron party is caught between its cow protection commitment and electoral footprint expansion @indiatoday magazine
114,Kudos to govt for deciding to privatize the bleeding Maharaja. Bold decision. It has debt of Rs 52000 cr &amp; annual l… https://t.co/ccPbsf3LTK
115,"3/3 Onus is on us to uphold highest journalistic standard of fairness, balance, integrity &amp; exemplary benchmarks of corporate governance."
116,"2/3
Such a move also undermines basic tenets of free speech enshrined in the Constitution. I maintain none of us in media are above the law."
117,"1/3
I strongly believe that freedom of the media is inviolable in a democracy &amp;any move to intimidate directly/indirectly is cause for alarm"
118,"Indian farmers use 2-3 times more water to produce one tonne of grain compared to China, Brazil &amp; the US. Just inefficient."
119,"If farm income is to be doubled by 2022, which is govt's target, agri has to grow by 14% as against present 4.1%. https://t.co/k1Syf8hqRZ"
120,"Loan waivers for farmers are band-aid populist solutions. Not addressing fundamental problems of agriculture.
https://t.co/nvUJ5VpRsE"
121,The audacity of 1 trillion OBOR project reflects their vaulting ambition to be a superpower. Report from Beijing.  @IndiaToday cover story.
122,Our provocative cover on Pakistan’s tactical nuke threat won us IFRA’s ‘Best of Asia’ cover design award. Way to go… https://t.co/lCsoNke8vS
123,Nobody knows PM Modi more than Uday Mahurkar: FM @arunjaitley at book release of Deputy Editor’s book ‘Marching with a billion’.
124,.@UdayMahukar has tracked Modi through a three-decade career with us. Marching with a billion released on 3-yr anniversary of Modi govt
125,"The biggest failure of Government is job creation. Falling woefully short of 10M jobs promised every yr
https://t.co/rpFQK5h1HB
#ModiBharat"
126,Govt has introduced game changing economic legislation: #GST and Banking regulation. Audacious attack on black mone… https://t.co/09jsfyk0ld
127,Three years on @narendramodi  with his reformist zeal is moulding India into #ModiBharat. @IndiaToday special issue… https://t.co/P7fIcsUYIF
128,"In its 20th year @IndiaToday’s Best Colleges survey'17 is out. In the  latest issue, new winners &amp; top educational… https://t.co/NHMpZUWrcr"
129,"Embattled at home. From public anger over mining &amp; casinos to restive allies,Goa CM walks a political tightrope
https://t.co/zXYRFcMUjn"
130,Rahul has a plan. Finally. First steps from Gandhi scion to end Congress’ coma includes a rejig of party strategists in poll-bound states.
131,"#MehboobaUnderSiege 
Caught between an obdurate centre and rebellious PDP, can CM Mehbooba Mufti pull Kashmir back… https://t.co/UKErbM5hUH"
132,Blaming EVMs for defeat shows how bereft #AAP is of ideas. They showed glimmer of being an effective opposition. Dimmed now.
133,"#AAP 
Beginning of the end? After a meteoric rise, defeats in Punjab, Goa and now, the MCD. The Aam Aadmi Party seems adrift."
134,A Shocking Surge: Childhoods at stake in Jharkhand as Maoists conscript child soldiers to replenish depleting ranks.
135,"2/2 CPRF authorised 352 MPVs, only 120 available and 800 hand-held thermal imagers sanctioned, only 200 bought."
136,1/2 Political class makes ritualistic mourning noises at deaths of soldiers but do nothing later.
137,2/2 What angers me most is lack of recommended equipment for jawans because of bureaucratic lethargy and political apathy.
138,"1/2 Despite deadly strikes in Chhatisgarh, Maoists are on the run from an aggressive security establishment. Hearte… https://t.co/uYpYuCMeqO"
139,"#PresidentialElection 
Next 1st citizen. Gossip,political arithmetic &amp; probable candidates-Droupadi Murmu, TC Gehlot, Sumitra Mahajan&amp;others"
140,"The Baahubali blockbuster -- Rs 450 crore spend for 2 films; 615- day shoot over 4 years, minimum 600-person crew on sets. #BaahubaliReturns"
141,Amazed at the audacity and the scale of the two Baahubali films. It’s a game changer for film industry. https://t.co/lbzVpt0Nlv
142,"#HighandMighty Global list in the Age of Trump vs Brexit has many changes in international movers and shakers. 
https://t.co/7LMOVlQR7V"
143,.@IndiaToday’s 14th Annual Power List of #HighAndMighty. Record breaking 17 new entrants. Also many ups &amp; downs on… https://t.co/SCrrBqJ4dg
144,.@IndiaToday My editor's note from the magazine https://t.co/SFQuyFNCRQ
145,The moon racers. The inside story of Team Indus’ audacious bid for a $20 mn prize to land a rover on the lunar surface. @IndiaToday
146,"Perils of moral policing in UP which tops list of crimes against women including rapes &amp; dowry deaths. Strangely, ‘eve-teasing’ main focus"
147,#Yogistan! Can UP’s new Chief Minister Yogi Adityanath focus his energies on development or will his Hindutva bagga… https://t.co/EJ3JU8R8bX
148,"Technology is a great leveller. Mukesh Ambani on the march of disruptive tech that can transform global economy
https://t.co/2NOpKUydZm"
149,Disruption is a small word to define change in India:PM on course correction to bring real change in unsettled time https://t.co/UZMKPL7oiY
150,Old certainties vanish as world lurches towards volatility. @IndiaToday #Conclave17 made sense of the world reshaped https://t.co/vXOlm5wqkM
151,"Perhaps the acronym given by minister @MVenkaiahNaidu  describes PM best: MODI, he said, stands for 'Maker of Developed India' #Conclave17"
152,"This government obviously is on steroids. Taking all the problems of India by the horns, one scheme at a time: @aroonpurie #Conclave17"
153,.@IndiaToday #Conclave17 has spent last 2 days talking about Disruption &amp; there's no one who understands the word better than our PM.
154,.@indiatoday #Conclave17 https://t.co/6yTAai17py
155,1/2 We don't need to cut the red tape - we need to throw away the tape most of the time #Conclave17 https://t.co/YfKJ1fF0DC
156,"RT @IndiaToday: I have a deep affection and long association with Mumbai: @aroonpurie, Editor-in-Chief #Conclave17
Watch Live https://t.co/…"
157,#Conclave17 https://t.co/XlXdhjdk9s
158,"RT @IndiaToday: For past 15 yrs, we’ve had many of greats of the world who’ve made history at Conclave: @aroonpurie, #Conclave17
 https://t…"
159,Hindu headache for BJP. An obscure group’s demand for citizenship for Bangladeshi Hindus sets it on a collision course with  BJP in Assam
160,"Trump’s goal is to grow trade with India from $100 Bn to $300 Bn, says his  closest Indian-American ally Shalabh Kumar @IndiaToday"
161,"A new spring in their stride, BJP is banking on Modi’s charisma and a split in the Dalit-Muslim vote to take UP.  @IndiaToday magazine"
162,Congratulating the team at #enbaAwards @IndiaToday @aajtak https://t.co/wCeJyMxMrI
163,Delighted that @IndiaToday TV and @aajtak TV were rated the best news channels in English &amp; Hindi at #enbaAwards https://t.co/zJWnrc2kua
164,At #enbaAwards. ITG Group Editorial Director Kalli Purie's incisive speech. https://t.co/kvh5Z8DxJy
165,"If we are to rule the viewers' minds, we the content kings need to please the princess of ping:Kalli Purie, Grp Edi… https://t.co/u3C7m3gvmz"
166,"#UnmadeInIndia. Delays, a funds crunch and bureaucracy could undo the plan to indigenize our $100 billion arms buys. @IndiaToday magazine"
167,.@yadavakhilesh with the latest issue of @IndiaToday with him on the cover. https://t.co/dPEAXYKG0z
168,No communal overtones or appeasement noises from @yadavakhilesh More positivity than negativity in speeches. Short on rival abuse.
169,"UP going TN way in goodie distribution. Promising phones, milk, fruits, ghee in schools, cookers besides loan waiver. Competitive populism."
170,#CampaignTrail Akhilesh Yadav - Great crowd connect bordering on bhaiyamania. Force to reckon with. #UP
