Unnamed: 0,tweet
0,"The @IndiaToday Group has launched a #SaveTheTaj campaign across all platforms.Each week, we will highlight one asp… https://t.co/yDMQqGANah"
2,The Mamata Formula. Will Bengal Chief Minister @MamataOfficial be the force around which the opposition coalesces i… https://t.co/8BixFfcTkO
4,The New Strategem. The BJP and RSS put their heads together to come up with a new blueprint for the 2019 elections. https://t.co/JyqTRv8tY0
6,Trump’s Big Deal: As US President Donald Trump and North Korean supreme Kim Jung-un reach a historic nuclear detent… https://t.co/EqipRDxDdx
8,Goal 2019. Because the kick off for the next general elections began as the government entered its fifth year. We r… https://t.co/EkTj6S4T9X
10,Another exciting new feature in #IndiaTodayBestCollegesSurvey—Return on Investment ranking. We match course fees to… https://t.co/nuoS0DbYxn
12,"RT @IndiaToday: This is the communication sent by the India Today Group to set the record right on CobraPost’s malafide sting operation.
ht…"
14,"We shall fight with whatever we have’, Army chief General VP Malik said during Kargil War 1999. Army now in nearly… https://t.co/ifFPpuyNJW"
16,"The Wuhan Warmup. Post the ‘informal’ Xi-Modi summit, our cover story asks the big questions. Can India and China f… https://t.co/lqZexlggeG"
18,"Yogi’s Agni Pariksha. The alleged cover-up of a rape by a BJP MLA, rising Dalit anger &amp; the party’s defeat in two c… https://t.co/OfDbgVI372"
20,"Informed by history, buttressed by intelligentsia, empowered by education and imbued with electoral power, Dalits s… https://t.co/A2li8hDhiv"
22,Can an anti-Modi alliance win 2019? Opposition parties energised by NDA’s bypoll losses and its fragmenting constit… https://t.co/VtCQNvTEoe
24,"We certainly need more candour, humour &amp; humanity in our lives."
26,"#LetsConclave18
Grab the @IndiaToday special issue which curates the best of the conclave. ‘The Great Churn: Triump… https://t.co/aaRtysqoeJ"
28,"Hard fought election of 2016 is now well &amp; truly behind her, but as headlines abt Russian interference show,… https://t.co/bGIgYxdcIN"
30,"As most sensible people realise with every passing day, Mrs Hillary Clinton should have been President.
@IndiaToday #LetsConclave18"
32,"Government has no business being in business. Until the Prime Minister applies that to banking in India, there will… https://t.co/1ctvWGx61x"
34,Whats the endgame? India-Pakistan relations dip dangerously as the LoC’s bunker-to-bunker conflict mounts. With no… https://t.co/womc2otDZk
36,The added readership of India Today English and India Today Hindi puts us ahead of India's No.1 English newspaper.… https://t.co/YI5QKOuXRv
38,"For those who think magazines are passe, there is some breaking news. Readership of magazines in the country stands… https://t.co/E97kyq00Vd"
40,Betting the farm. Prime Minister Modi articulates his vision for the 2019 elections. #Budget2018 recognises rural d… https://t.co/y8ItsMFwv8
42,The tightrope walker. Finance Minister Arun Jaitley faces one of his toughest challenges in #Budget2018. Has to bal… https://t.co/gFX4pjLLua
44,"Oh my Lords! A revolt by four Supreme Court judges polarises the nation, raising both alarm and hope. Will it open… https://t.co/hpyjyojxde"
46,"#SouthConclave18 The six chief ministers of the South are currently the brand ambassadors for their states, as much… https://t.co/g2jyNN631e"
